Step,Accuracy
0,0.1468
100,0.9485
200,0.966
300,0.9706
400,0.9744
500,0.9769
600,0.9784
700,0.982
800,0.9838
900,0.9824
1000,0.982
1100,0.9806
1200,0.9804
1300,0.986
1400,0.985
1500,0.9874
1600,0.9878
1700,0.9875
1800,0.9865
1900,0.9875
2000,0.9889
2100,0.9888
2200,0.9876
2300,0.9873
2400,0.9884
2500,0.9891
2600,0.9908
2700,0.9898
2800,0.988
2900,0.9895
3000,0.9901
3100,0.99
3200,0.9887
3300,0.9894
3400,0.9915
3500,0.9847
3600,0.9896
3700,0.9892
3800,0.9886
3900,0.9903
4000,0.9895
4100,0.9904
4200,0.9896
4300,0.9891
4400,0.9875
4500,0.9921
4600,0.9908
4700,0.9912
4800,0.9912
4900,0.9903
